,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Gross Margin,Income,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,P\/B,P\/C,P\/S,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Week,Month
ACHN_11-15-2017,5.66,3.15,0.18,1430000.0,1.61,2.52,2.34,-0.1274,22.7,11-15-2017,0.0,-0.49,-0.016,0.07200000000000001,0.17579999999999998,-0.16,-0.62,0.081,-0.35600000000000004,Nov 02,81.0,,-66500000.0,Biotechnology,0.001,0.0,0.9840000000000001,0.0608,0.0,506910000.0,,Yes,1.46,1.58,33.79,-0.023799999999999998,-0.16140000000000002,-0.2439,-0.0729,-0.1065,-0.22149999999999997,3.69,3.22,,22.7,-0.172,-0.17800000000000002,-0.162,26.31,2.1,3.93,-0.18469999999999998,-0.2339,-0.22870000000000001,15.00M,,1.273,Healthcare,0.0642,6.12,Yes,136700000.0,137380000.0,5.92,ACHN,391486,0.021739130434782483,0.07453416149068315,0.0714285714285714,0.08074534161490665,0.07763975155279512,0.0421,0.049100000000000005
ACIU_11-03-2017,17.47,6.03,0.49,76400.0,,2.12,2.27,-0.061500000000000006,21.6,11-03-2017,0.0,-0.68,-0.18,-1.9,,-0.13,-0.72,,-1.3769999999999998,Nov 08 BMO,67.0,,-35700000.0,Biotechnology,0.6204,0.0,0.182,,0.0,685720000.0,,No,5.91,5.51,124.68,0.3911,0.1159,0.8687,0.105,-0.0354,0.039,12.52,11.75,,21.6,-0.24100000000000002,-0.263,-0.073,55.08,1.3,3.02,0.0034999999999999996,0.17309999999999998,0.11449999999999999,5.50M,-0.96,,Healthcare,0.0381,10.74,Yes,21550000.0,54770000.0,21.23,ACIU,16039,0.0034042553191488967,0.019574468085106433,0.019574468085106433,0.019574468085106433,-0.038297872340425476,0.037000000000000005,0.037599999999999995
ACLS_11-03-2017,33.67,11.05,1.17,579840.0,1.07,7.79,3.49,0.0626,4.6,11-03-2017,0.2,0.91,0.35609999999999997,3.2,0.2,0.28,1.71,0.138,-0.268,Nov 02 AMC,814.0,0.384,29600000.0,Semiconductor Equipment & Materials,0.023,-0.4999,0.773,0.0025,0.2,993010000.0,0.10099999999999999,Yes,4.1,9.14,3.06,0.4826,0.1452,0.5896,-0.0062,1.1959,1.3755000000000002,31.95,33.95,0.091,2.7,0.09300000000000001,0.138,0.067,74.78,2.2,3.99,0.0872,0.5953,0.27390000000000003,324.70M,0.594,-0.035,Technology,0.0362,1.92,Yes,30760000.0,31080000.0,26.2,ACLS,160847,0.02945508100147265,-0.022091310751104598,-0.032400589101620025,-0.013254786450662803,0.020618556701030855,0.0393,0.0326
ACLS_11-27-2017,37.05,12.65,1.43,654390.0,1.11,8.13,3.64,-0.049800000000000004,4.3,11-27-2017,0.19,1.19,0.2703,4.0969999999999995,0.2,0.39,1.83,0.138,-0.268,Nov 02 AMC,814.0,0.386,39200000.0,Semiconductor Equipment & Materials,0.011000000000000001,-0.5851,0.8190000000000001,0.0495,0.19,1090000000.0,0.11800000000000001,Yes,4.28,9.56,2.99,0.5963,0.0824,0.7143,0.0146,1.3918000000000001,1.5216999999999998,36.63,34.8,0.10800000000000001,2.6,0.115,0.172,0.067,56.73,2.4,1.1,0.0222,0.5329999999999999,0.1359,363.50M,0.591,-0.035,Technology,0.0582,2.71,Yes,30510000.0,31270000.0,35.2,ACLS,717746,,,,,,0.045899999999999996,0.0444
ACOR_11-01-2017,33.0,13.6,1.34,767290.0,1.68,15.01,,0.0583,2.4,11-01-2017,0.0,-0.94,-0.5975,0.5579999999999999,0.29,0.65,0.7,-0.24600000000000002,-4.0169999999999995,Oct 31 BMO,597.0,0.7879999999999999,-42900000.0,Biotechnology,0.012,1.3572,,0.0212,0.48,1220000000.0,-0.033,Yes,1.77,,2.28,0.6609,0.022099999999999998,0.19440000000000002,0.0182,0.41359999999999997,0.5014,26.58,28.13,-0.08,2.0,-0.032,-0.064,-0.03,66.92,2.7,0.92,0.0731,0.3146,0.155,535.10M,0.09300000000000001,0.122,Healthcare,0.1201,7.16,Yes,45750000.0,45940000.0,22.88,ACOR,48958,-0.024173480270174186,-0.025950942054745796,-0.024173480270174186,0.004265908282971909,0.02026306434411662,0.0786,0.049800000000000004
ACOR_11-15-2017,33.0,13.6,1.19,771830.0,1.69,14.78,,-0.37939999999999996,2.8,11-15-2017,0.0,-1.21,-0.7693000000000001,-0.953,0.29,1.0,0.4,-0.24600000000000002,-4.0169999999999995,Oct 31 BMO,597.0,0.7859999999999999,-55400000.0,Biotechnology,0.012,1.3149000000000002,,0.0109,0.49,1340000000.0,-0.026000000000000002,Yes,1.91,,2.47,0.88,0.0825,0.3086,0.0255,0.5,0.3178,28.2,17.5,-0.102,2.4,-0.040999999999999995,-0.08199999999999999,-0.03,23.3,2.7,48.22,-0.358,-0.1956,-0.31329999999999997,540.50M,0.040999999999999995,0.122,Healthcare,0.1125,6.69,Yes,45880000.0,47420000.0,26.2,ACOR,2586149,-0.014285714285714235,-0.009714285714285786,0.06000000000000005,0.12857142857142856,0.17428571428571438,0.0363,0.049400000000000006
ACXM_11-02-2017,30.4,21.8,0.41,506350.0,1.28,9.58,2.05,0.0958,2.3,11-02-2017,0.31,-0.02,0.3125,-1.33,0.21600000000000003,0.17,1.05,-0.375,1.462,Nov 01 AMC,3260.0,0.466,-1200000.0,Information Technology Services,0.033,0.0023,0.9740000000000001,0.006,0.3,1960000000.0,0.002,Yes,2.57,12.03,2.23,-0.1491,-0.011200000000000002,-0.07919999999999999,-0.0128,-0.0802,0.0458,24.65,27.01,-0.001,2.3,-0.001,-0.002,0.012,73.99,1.7,4.03,0.083,0.0265,0.1148,878.00M,-0.011000000000000001,-0.049,Technology,0.0377,5.8,Yes,77970000.0,79590000.0,32.4,ACXM,141643,-0.007404664938911565,-0.017030729359496566,-0.024065161051462503,-0.03295075897815625,-0.033320992225101875,0.0191,0.015600000000000001
ADMS_11-01-2017,24.88,12.1,1.39,1120000.0,0.73,4.64,5.73,0.0977,11.8,11-01-2017,0.33,-2.98,0.09300000000000001,-0.18899999999999997,,-0.98,-3.42,-0.40700000000000003,0.033,Nov 09 AMC,72.0,,-66099999.99999999,Drugs - Generic,0.004,-0.7967,0.9540000000000001,-0.0222,0.33,552190000.0,,Yes,5.31,4.3,2760.93,0.4472,0.1438,0.4362,0.3602,0.4592,0.7948000000000001,24.66,27.07,,11.8,-0.45799999999999996,-0.529,-0.46,72.94,1.9,14.36,0.31679999999999997,0.5321,0.32299999999999995,0.20M,-0.991,-0.22,Healthcare,0.34049999999999997,6.65,Yes,21800000.0,22390000.0,39.5,ADMS,1113231,-0.010343553749538326,0.035463612855559656,0.04950129294421868,0.01256002955301061,-0.0007388252678240947,0.09300000000000001,0.058899999999999994
ADMS_11-03-2017,27.87,12.1,1.54,1200000.0,0.73,4.64,5.73,0.067,11.8,11-03-2017,0.33,-2.98,0.09300000000000001,-0.18899999999999997,,-0.98,-3.42,-0.40700000000000003,0.033,Nov 02 AMC,72.0,,-66099999.99999999,Drugs - Generic,0.004,-0.7967,0.9540000000000001,-0.0222,0.33,588240000.0,,Yes,5.66,4.58,2941.19,0.5097999999999999,0.1865,0.5264,0.4078,0.5544,0.9373,26.27,28.03,,11.8,-0.45799999999999996,-0.529,-0.46,74.2,1.9,2.89,0.34090000000000004,0.5776,0.3383,0.20M,-0.991,-0.22,Healthcare,0.34049999999999997,6.19,Yes,21800000.0,22390000.0,39.5,ADMS,240845,0.013556903317873736,-0.022119158044951903,-0.0349625401355691,-0.01676774884052812,0.025330003567606063,0.0851,0.0629
ADM_10-31-2017,47.88,40.22,0.5,2850000.0,1.12,30.49,1.19,-0.052300000000000006,1.6,10-31-2017,0.4,2.37,0.1426,0.006,-0.025,0.56,2.85,0.033,-0.27399999999999997,Oct 31 BMO,31800.0,0.062,1380000000.0,Farm Products,0.023,0.0,0.758,-0.0029,0.35,24050000000.0,0.027999999999999997,Yes,1.4,35.89,0.39,0.0274,0.0070999999999999995,-0.0113,-0.0174,-0.0622,-0.0179,42.81,40.57,0.022000000000000002,0.9,0.035,0.08,0.044000000000000004,26.22,3.0,4.73,-0.0626,-0.061200000000000004,-0.054000000000000006,62.26B,-0.044000000000000004,-0.069,Consumer Goods,0.023,4.43,Yes,549620000.0,561740000.0,42.36,ADM,939021,-0.0024648755237860476,0.004683263495193435,-0.011584914961794368,-0.02119792950456001,-0.024895242790239025,0.0139,0.0109
ADOM_11-20-2017,18.31,3.66,0.46,179940.0,,0.05,0.07,-0.049100000000000005,1.7,11-20-2017,1.0,-0.34,,-0.909,,,,,-0.77,,4.0,,-23100000.0,Auto Parts,0.3641,0.0,0.006,,0.0,334920000.0,,No,97.8,74.43,,,0.16149999999999998,-0.6295000000000001,0.1869,-0.32549999999999996,,4.89,4.65,,1.5,-4.062,,,45.04,,0.12,0.0599,-0.4935,-0.2266,0.00M,,,Consumer Goods,0.0115,2.76,No,43290000.0,68490000.0,,ADOM,1443,,,,,,0.0684,0.09849999999999999
ADOM_11-06-2017,18.31,3.66,0.53,186360.0,,0.07,0.1,-0.052199999999999996,1.9,11-06-2017,0.91,-0.26,,-5.125,,,,,-0.77,,4.0,,-17400000.0,Auto Parts,0.3641,0.0,0.001,0.9521,0.0,330100000.0,,No,65.71,47.84,,,-0.3134,-0.2912,-0.045599999999999995,-0.3655,,4.6,4.36,,1.8,-3.721,,,32.25,,0.18,-0.1477,-0.5489999999999999,-0.4329,0.00M,,,Consumer Goods,0.011399999999999999,2.64,Yes,43290000.0,71760000.0,,ADOM,2391,0.0665137614678899,0.10779816513761453,0.0665137614678899,,,0.11560000000000001,0.1189
ADUS_11-14-2017,40.75,29.9,1.32,27810.0,0.2,14.66,1.37,-0.053399999999999996,3.4,11-14-2017,0.26,1.53,0.1036,0.017,0.15,0.44,1.75,0.061,0.036000000000000004,Nov 06 AMC,2449.0,0.272,17800000.0,Home Health Care,0.017,-0.0601,0.938,0.0131,0.24,380230000.0,0.052000000000000005,Yes,2.23,23.91,0.91,-0.13699999999999998,-0.0507,-0.0562,-0.0493,-0.06559999999999999,-0.0060999999999999995,32.75,31.0,0.039,3.4,0.067,0.1,0.061,31.67,1.5,1.29,-0.0967,-0.11410000000000001,-0.1032,417.40M,0.027000000000000003,0.11699999999999999,Healthcare,0.0106,4.35,Yes,11400000.0,11610000.0,43.25,ADUS,2501,0.05806451612903207,0.07580645161290334,0.07903225806451619,0.059677419354838834,0.056451612903225756,0.0397,0.040999999999999995
ADUS_11-02-2017,40.75,24.6,1.21,29810.0,0.15,14.66,1.39,-0.0762,3.4,11-02-2017,0.26,1.39,0.1335,0.017,0.15,0.41,1.82,0.061,0.036000000000000004,Nov 06 AMC,2449.0,0.271,16100000.000000002,Home Health Care,0.017,-0.0639,0.93,0.0045000000000000005,0.24,398010000.0,0.055999999999999994,Yes,2.37,25.03,0.97,-0.0361,-0.0454,0.025099999999999997,0.0073,-0.01,0.38520000000000004,34.7,32.06,0.039,3.4,0.068,0.10099999999999999,0.061,36.62,1.5,0.11,-0.0817,-0.0843,-0.0712,412.30M,0.027000000000000003,0.11699999999999999,Healthcare,0.016399999999999998,6.29,Yes,11410000.0,11470000.0,43.25,ADUS,233,0.09014348097317537,0.08889582033686816,0.06519026824703666,0.023081721771677888,0.004990642545227519,0.04769999999999999,0.0302
AEGN_11-02-2017,26.68,18.43,0.66,219870.0,1.68,17.61,3.24,0.0493,2.6,11-02-2017,0.65,1.36,0.2208,2.378,0.05,0.28,1.27,0.042,4.806,Nov 01 AMC,5150.0,0.217,46800000.0,Heavy Construction,0.003,0.0,0.975,-0.005699999999999999,0.6,750890000.0,0.063,Yes,1.31,7.13,0.57,0.12279999999999999,0.0738,0.19829999999999998,0.033,-0.0236,0.2569,23.14,24.28,0.036000000000000004,2.2,0.039,0.08199999999999999,0.048,70.69,2.4,2.03,0.071,0.10210000000000001,0.09050000000000001,1.31B,0.191,0.057,Industrial Goods,0.045700000000000005,6.63,Yes,31870000.0,32450000.000000004,22.71,AEGN,30961,0.04983525535420097,0.0687808896210873,0.07495881383855019,0.09967051070840194,0.08484349258649093,0.028399999999999998,0.0264
AEIS_10-31-2017,95.0,46.39,2.37,372280.0,1.36,12.18,9.11,-0.1057,5.1,10-31-2017,0.0,3.76,0.013300000000000001,0.6709999999999999,0.474,1.17,4.66,0.284,0.426,Oct 30 AMC,1558.0,0.526,150800000.0,Diversified Electronics,0.009000000000000001,-0.2966,0.966,-0.006,0.0,3730000000.0,0.284,Yes,7.69,10.28,6.47,0.26489999999999997,0.1595,0.29350000000000004,0.0401,0.7103,0.9776,93.64,83.74,0.27399999999999997,4.4,0.264,0.38,0.295,44.55,2.6,10.15,-0.0481,0.1681,0.0495,577.10M,0.396,-0.013000000000000001,Technology,0.0302,3.2,Yes,39460000.0,39850000.0,79.67,AEIS,262500,0.00788153809410086,-0.018987341772151778,-0.0002388344877000126,0.001194172438500285,0.010747551946501233,0.028999999999999998,0.0235
AEO_11-17-2017,19.0,10.23,0.45,4340000.0,1.08,6.34,1.14,0.055099999999999996,1.7,11-17-2017,0.0,0.96,0.023,-0.47600000000000003,0.003,0.39,1.16,0.053,0.063,Nov 29 BMO,6600.0,0.36700000000000005,176900000.0,Apparel Stores,0.002,-0.0383,0.878,-0.005699999999999999,0.0,2370000000.0,0.077,Yes,2.2,12.3,0.65,0.2876,0.0771,0.25739999999999996,0.0433,-0.0791,-0.223,13.97,14.74,0.049,0.8,0.102,0.153,0.17300000000000001,66.64,2.7,3.2,0.094,0.1303,0.09380000000000001,3.64B,0.027000000000000003,0.03,Services,0.1042,4.0,Yes,166640000.0,169580000.0,13.76,AEO,964255,0.006105834464043447,0.016282225237449044,0.006784260515603879,0.006105834464043447,0.023744911804613356,0.0345,0.0316
AFAM_11-08-2017,62.95,38.05,2.09,132370.0,0.36,33.18,1.53,0.0732,2.4,11-08-2017,0.3,1.49,0.2438,-0.26,0.046,0.39,2.63,-0.040999999999999995,-0.16899999999999998,Nov 07 AMC,15500.0,0.469,17400000.0,Home Health Care,0.069,-0.07519999999999999,0.892,0.0072,0.3,719870000.0,0.048,Yes,1.54,33.48,1.01,-0.1065,0.0723,0.08470000000000001,0.15710000000000002,0.161,0.2595,51.2,54.95,0.024,2.4,0.027000000000000003,0.046,0.040999999999999995,66.6,2.5,0.95,0.1679,0.0748,0.1369,715.90M,0.287,0.135,Healthcare,0.0526,5.06,Yes,12720000.0,14060000.0,55.0,AFAM,9086,-0.04094631483166511,-0.06915377616014562,-0.07097361237488631,-0.05586897179253869,0.0878980891719745,0.07519999999999999,0.0395
AFAM_11-16-2017,62.95,39.34,2.16,127770.0,0.36,33.42,1.33,0.1353,2.4,11-16-2017,0.29,1.2,0.2621,-0.563,0.046,0.6,2.66,-0.040999999999999995,-0.16899999999999998,Nov 07 AMC,15500.0,0.47,15200000.0,Home Health Care,0.069,-0.0729,0.89,0.0049,0.29,757630000.0,0.042,Yes,1.58,39.67,1.01,-0.0673,0.1166,0.08560000000000001,-0.0241,0.19390000000000002,0.2506,52.65,59.78,0.02,2.4,0.021,0.036000000000000004,0.040999999999999995,72.62,2.5,7.97,0.22640000000000002,0.1656,0.225,749.80M,0.21100000000000002,0.135,Healthcare,0.046900000000000004,4.67,Yes,12720000.0,14390000.0,57.17,AFAM,70807,0.039478086316493854,0.006189360990297654,0.009534961525593744,0.05553696888591508,0.07059217129474749,0.0363,0.0462
AFAM_11-02-2017,62.95,38.05,1.69,126300.0,0.43,33.18,1.58,0.1832,2.4,11-02-2017,0.3,1.49,0.2207,-0.26,0.046,0.41,2.63,-0.040999999999999995,-0.16899999999999998,Nov 07 AMC,15500.0,0.469,17400000.0,Home Health Care,0.069,-0.07769999999999999,0.893,0.0087,0.3,548230000.0,0.048,Yes,1.22,25.5,0.77,-0.1936,-0.23989999999999997,-0.1441,-0.1217,-0.0839,0.0412,40.4,47.8,0.024,2.4,0.027000000000000003,0.046,0.040999999999999995,51.91,2.5,5.9,0.0245,-0.0633,-0.0048,715.90M,0.287,0.135,Healthcare,0.0526,5.3,Yes,12720000.0,13570000.0,55.0,AFAM,51738,0.0652719665271968,0.07845188284518834,0.14958158995815918,0.10251046025104604,0.07008368200836834,0.0493,0.0331
AFSI_11-13-2017,28.48,10.27,0.58,1240000.0,1.27,13.27,3.7,-0.057300000000000004,,11-13-2017,0.56,-0.32,0.43320000000000003,-2.9139999999999997,0.1,0.31,1.42,0.127,-0.16399999999999998,Nov 08 AMC,8000.0,,-74900000.0,Property & Casualty Insurance,0.07400000000000001,-0.0007000000000000001,0.385,-0.0438,0.5,2130000000.0,0.01,Yes,0.78,2.79,0.36,-0.2022,-0.2415,-0.26739999999999997,-0.1793,-0.6238,-0.6113000000000001,10.3,9.71,-0.013000000000000001,,-0.003,-0.03,0.127,19.24,2.0,3.89,-0.23559999999999998,-0.3996,-0.2481,5.94B,0.036000000000000004,0.354,Financial,0.1341,11.78,Yes,109320000.0,207210000.0,15.2,AFSI,336082,-0.04428424304840384,-0.060762100926879614,0.002059732234809486,-0.0628218331616891,-0.06694129763130796,0.0724,0.0418
AFSI_11-09-2017,28.48,11.36,0.51,1230000.0,1.25,15.22,4.59,-0.0946,,11-09-2017,0.53,1.04,0.4962,-0.956,0.1025,0.12,1.77,0.127,-0.16399999999999998,Nov 08 AMC,8000.0,,180500000.0,Property & Casualty Insurance,0.07400000000000001,-0.0007000000000000001,0.401,-0.0054,0.47,2380000000.0,0.057,Yes,0.81,2.67,0.4,-0.0864,-0.10769999999999999,-0.11289999999999999,-0.0223,-0.5522,-0.5164,12.26,11.1,0.031,,0.008,0.073,0.127,26.44,2.0,3.56,-0.1462,-0.3204,-0.14550000000000002,5.89B,0.168,0.354,Financial,0.146,13.0,Yes,109300000.0,194400000.0,18.3,AFSI,313895,-0.12522522522522517,-0.16396396396396395,-0.17837837837837844,-0.12342342342342338,-0.18018018018018023,0.053200000000000004,0.0364
